id   |                enunciado
  59 | = (\Phi_{bb} \Phi_{K} \Phi_{K}) (\Phi_{c(c(b,cb),)} c_{5} c_{1} (\Phi_{c(ccbbcb,)} c_{1} c_{5}) c_{5} (\Phi_{(bcb,bcbcb)} c_{1}))
  60 | = (\Phi_{cb} c_{5} \Phi_{cb}) (\Phi_{(cb,b)} c_{5} \Phi_{cbb} c_{1})
  61 | = (\Phi_{ccb} c_{1} c_{1} (\Phi_{(cbcb,b)} c_{5} \Phi_{cbb})) (\Phi_{c(ccbb,)} c_{1} \Phi_{cbb} c_{5} \Phi_{ccbcb} c_{1})
  62 | = (\Phi_{c(ccbb,)} c_{5} c_{7} c_{5} (\Phi_{(bcbb,cb)} c_{4}) c_{7}) (\Phi_{cb} c_{1} \Phi_{cb})
  63 | = (\Phi_{c(ccb,b)} c_{5} c_{7} c_{5} (\Phi_{(bcbb,cb)} c_{4}) c_{7}) (\Phi_{cb} c_{6} \Phi_{cb})
  64 | = (\Phi_{cb} c_{4} (\Phi_{(b,cb)} c_{1})) (\Phi_{cb} c_{2} \Phi_{cb})
  65 | = (\Phi_{bb} \Phi_{b} c_{2}) (\Phi_{cb} c_{3} \Phi_{cb})
  68 | = (\Phi_{cbbb} c_{7} \Phi_{bb} c_{2} c_{7}) (\Phi_{cb} c_{2} \Phi_{cb})
  69 | = (\Phi_{c(ccb,)} c_{5} \Phi_{cbcb} c_{1} (\Phi_{cccbcb} c_{5})) (\Phi_{bcb} (\Phi_{cb} c_{1}) c_{2} \Phi_{cbcb})  70 | = (\Phi_{c(ccb,)} c_{2} \Phi_{cbcb} c_{1} (\Phi_{cccbcb} c_{2})) (\Phi_{bcb} (\Phi_{cb} c_{1}) c_{2} \Phi_{cbcb})  71 | = (\Phi_{c(ccb,)} c_{2} \Phi_{cbcb} c_{2} (\Phi_{cccbcb} c_{2})) (\Phi_{bcb} (\Phi_{cb} c_{2}) c_{2} \Phi_{cbcb})  72 | = (\Phi_{bcb} (\Phi_{cb} c_{2}) c_{2} \Phi_{cbcb}) (\Phi_{cb} c_{5} (\Phi_{cbcb} c_{2} \Phi_{cb}))
  12 | = (\Phi_{cbb} c_{7} \Phi_{bb} c_{1}) (\Phi_{bb} (\Phi_{bb} c_{7}) c_{1})
  73 | = (\Phi_{cb} c_{5} \Phi_{cb}) (\Phi_{c(cb,)} c_{2} c_{5} \Phi_{cbcb})
  74 | = (\Phi_{b} \Phi_{K}) (\Phi_{(cb,b)} c_{5} \Phi_{cbb} c_{2})
  75 | = (\Phi_{K} (\Phi_{K} c_{8})) (\Phi_{c(cb,)} c_{2} c_{4} \Phi_{cbcb})
  76 | = (\Phi_{bb} \Phi_{b} c_{2}) (\Phi_{(cb,b)} c_{4} \Phi_{cbb} c_{2})
  77 | = (\Phi_{cb} c_{1} \Phi_{cb}) (\Phi_{c(cb,)} c_{4} c_{5} (\Phi_{(bcb,cb)} c_{2}))
  78 | = (\Phi_{K} c_{8}) (\Phi_{(b,)} c_{2})
  79 | = (\Phi_{K} c_{8}) (\Phi_{b} (c_{2} c_{8}))
  80 | = \Phi_{} (\Phi_{cb} c_{8} c_{2})
  81 | = (\Phi_{b} c_{7}) (\Phi_{b} (c_{2} c_{9}))
  82 | = (\Phi_{K} c_{8}) (\Phi_{cb} c_{9} c_{2})
  83 | = (\Phi_{K} (\Phi_{K} T)) (\Phi_{c(cb,)} c_{4} c_{2} \Phi_{cbcb})
  84 | = (\Phi_{K} (\Phi_{K} T)) (\Phi_{c(bb,)} c_{5} \Phi_{bcb} c_{2})
  85 | = (\Phi_{K} (\Phi_{K} T)) (\Phi_{c(cb,)} c_{5} c_{4} (\Phi_{(bcb,cb)} c_{2}))
  86 | = (\Phi_{K} (\Phi_{K} (\Phi_{K} T))) (\Phi_{c(ccb,)} c_{4} c_{2} \Phi_{bcbcb} (\Phi_{c(ccbbcb,)} c_{5} c_{4}))
  87 | = (\Phi_{K} (\Phi_{K} (\Phi_{K} T))) (\Phi_{c(ccb,)} c_{5} \Phi_{cbcbcb} c_{2} (\Phi_{c(cccbcb,)} c_{4} c_{5}))
  88 | = (\Phi_{K} (\Phi_{K} T)) (\Phi_{c(cb,)} c_{2} c_{5} (\Phi_{(b,cbcb)} c_{2}))
  89 | = (\Phi_{cb} c_{4} (\Phi_{cbcb} c_{2} \Phi_{cb})) (\Phi_{ccb} (\Phi_{(bcb,cb)} c_{5}) c_{2} (\Phi_{cccb} c_{2}))
  90 | = (\Phi_{K} \Phi_{}) (\Phi_{c(cbb,)} c_{2} c_{2} (\Phi_{(bcb,cb)} c_{5}) c_{7})
  91 | = (\Phi_{cb} c_{1} \Phi_{cb}) (\Phi_{c(bb,)} c_{2} (\Phi_{(bb,cb)} c_{5}) c_{2})
  92 | = (\Phi_{K} (\Phi_{K} T)) (\Phi_{c((ccb,b),)} c_{2} c_{5} c_{1} (\Phi_{(bcb,(bb,cb))} c_{2}) c_{2})
  93 | = (\Phi_{K} (\Phi_{K} (\Phi_{K} T))) (\Phi_{c(bcb,)} c_{2} (\Phi_{c(cbcb,)} c_{2} c_{5}) c_{2} (\Phi_{(bcb,cbcb)} c_{2}))
  94 | = (\Phi_{K} (\Phi_{K} (\Phi_{K} T))) (\Phi_{c(bcb,)} c_{1} (\Phi_{c(cbcb,)} c_{2} c_{5}) c_{2} (\Phi_{(bcb,cbcb)} c_{2}))
  95 | = (\Phi_{K} (\Phi_{K} (\Phi_{K} T))) (\Phi_{c(bcb,)} c_{2} (\Phi_{c(cbcb,)} c_{1} c_{5}) c_{2} (\Phi_{(bcb,cbcb)} c_{2}))
  96 | = (\Phi_{K} (\Phi_{K} (\Phi_{K} T))) (\Phi_{(ccb,)} (\Phi_{(bcbb,cb)} c_{2}) c_{1} (\Phi_{c(ccbb,)} c_{1}))
  97 | = (\Phi_{bb} (\Phi_{cb} c_{1}) (\Phi_{(bb,cb)} c_{5})) (\Phi_{b} (\Phi_{c(bbb,)} c_{1} \Phi_{bcb} c_{5}))
  99 | = (\Phi_{bcb} (\Phi_{cb} c_{1}) c_{5} (\Phi_{(bbb,bcb)} \Phi_{bb} c_{2})) (\Phi_{b} (\Phi_{c(cbbbb,)} c_{1} c_{5} \Phi_{bbcb} \Phi_{bb} c_{2}))
 100 | = (\Phi_{bbc} \Phi_{b} c_{2} c_{8}) (\Phi_{b} (\Phi_{(bb,)} c_{2}))
 101 | = (\Phi_{cbbbc} c_{5} \Phi_{bb} \Phi_{bb} c_{2} c_{8}) (\Phi_{cb} c_{5} (\Phi_{(bbb,b)} \Phi_{bb} c_{2}))
 102 | = (\Phi_{cbc} c_{2} \Phi_{cb} c_{9}) (\Phi_{b} (\Phi_{(b,b)} c_{2}))
 103 | = (\Phi_{bcbc} (\Phi_{cb} c_{4}) c_{2} \Phi_{cbcb} c_{9}) (\Phi_{b} (\Phi_{c(cbb,)} c_{4} c_{2} \Phi_{cbcb}))
 104 | = (\Phi_{bbc} \Phi_{b} c_{5} c_{8}) (\Phi_{b} (\Phi_{(bb,)} c_{5}))
 105 | = (\Phi_{bbc} \Phi_{b} c_{4} c_{9}) (\Phi_{b} (\Phi_{(bb,)} c_{4}))
 106 | = (\Phi_{(cbbc,bc)} c_{7} (\Phi_{(bbb,b)} c_{4}) c_{5} c_{9} c_{5} c_{8}) (\Phi_{b} \Phi_{b})
 107 | = T (c_{11} (\Phi_{bcc(ccb,b)} c_{11} c_{16} (\Phi_{(bb,b)} c_{1}) c_{11} c_{15} (\Phi_{(bcb,bcbb)} c_{2}) c_{16}))
 108 | = T (c_{13} (\Phi_{bbb} c_{11} (\Phi_{bb} c_{7}) c_{16}))
 109 | = T (c_{11} (\Phi_{bcc(ccb,b)} c_{11} c_{16} (\Phi_{(bb,b)} c_{1}) c_{11} c_{15} (\Phi_{(bcb,bcbb)} c_{1}) c_{16}))
 110 | = T (c_{11} (\Phi_{bccbb} c_{11} c_{15} (\Phi_{(b(bb,b),b)} c_{1} c_{4}) (\Phi_{bcbcbb} c_{13} c_{16} (\Phi_{bbb} c_{11})) c_{15}))
 111 | = (\Phi_{K} T) (\Phi_{bccb} c_{11} c_{16} (\Phi_{(b(bcb,b),b)} c_{1} c_{5}) (\Phi_{bcb(cb,b)} c_{13} c_{16} (\Phi_{bbb} c_{11})))
 112 | = T (c_{11} (\Phi_{bcbcccbbb} c_{13} c_{16} (\Phi_{bbb} c_{11}) \Phi_{cb} c_{16} c_{14} (\Phi_{(bcbcb,b)} c_{1}) \Phi_{b} c_{16}))
 113 | = T (c_{12} (\Phi_{(bccbbbb,bb)} c_{14} c_{16} \Phi_{b} \Phi_{bbb} c_{12} \Phi_{b} c_{17} \Phi_{b} c_{16}) (\Phi_{b} (c_{59} c_{18})))
 114 | = T (c_{13} (\Phi_{(bb(ccbb,b),cb)} c_{5} c_{11} c_{20} c_{24} (\Phi_{(bb(bb,),b)} c_{2}) c_{16} c_{16} c_{18} c_{16}))
 115 | = T (c_{11} (\Phi_{bcbbb} c_{13} c_{16} (\Phi_{bbb} c_{11}) (\Phi_{(bb,b)} c_{1}) c_{27}))
  98 | = (\Phi_{bb} (\Phi_{cb} c_{15}) (\Phi_{(bb,cb)} c_{2})) (\Phi_{b} (\Phi_{c(bbb,)} c_{15} \Phi_{bcb} c_{2}))
 116 | = c_{8} (c_{11} (\Phi_{K} c_{8}))
  10 | = (\Phi_{K} T) (\Phi_{(b,)} c_{1})
 117 | = (\Phi_{bb} (\Phi_{bb} c_{11}) (\Phi_{(bb,b)} c_{2})) (\Phi_{cbbb} \Phi_{b} \Phi_{bb} c_{12} \Phi_{b})
 118 | = (\Phi_{bcb} (\Phi_{bb} c_{11}) c_{7} (\Phi_{(bb,bb)} c_{4})) (\Phi_{cbbb} \Phi_{b} \Phi_{bb} c_{12} \Phi_{b})
 119 | = (\Phi_{ccb} (\Phi_{(bb,(bb,b))} c_{1}) c_{5} (\Phi_{b(ccb,)} c_{11})) (\Phi_{cbbb} \Phi_{b} \Phi_{bb} c_{12} \Phi_{b})
 120 | = (\Phi_{b(cb,)} (\Phi_{bb} c_{11}) c_{4} (\Phi_{(bb,(bb,b))} c_{1})) (\Phi_{cbbb} \Phi_{b} \Phi_{bb} c_{12} \Phi_{b})
 121 | = (\Phi_{cccbb} \Phi_{b} \Phi_{cbb} c_{12} \Phi_{ccbb} (\Phi_{(bb,b)} c_{2})) (\Phi_{bbbb} (\Phi_{cb} (\Phi_{(bb,b)} c_{5})) \Phi_{bcb} c_{12} \Phi_{b})
 122 | = (\Phi_{cccbcb} \Phi_{b} \Phi_{cbb} c_{12} \Phi_{ccbb} c_{7} (\Phi_{(bb,bb)} c_{4})) (\Phi_{bbbb} (\Phi_{cb} (\Phi_{(bb,b)} c_{5})) \Phi_{bcb} c_{12} \Phi_{b})
 123 | = (\Phi_{cccb} \Phi_{b} \Phi_{cb(ccb,)} c_{12} (\Phi_{ccccbb} (\Phi_{(bb,(bb,b))} c_{1}) c_{5})) (\Phi_{bbbb} (\Phi_{cb} (\Phi_{(bb,b)} c_{5})) \Phi_{bcb} c_{12} \Phi_{b})
 124 | = (\Phi_{cccb(cb,)} \Phi_{b} \Phi_{cbb} c_{12} \Phi_{ccbb} c_{4} (\Phi_{(bb,(bb,b))} c_{1})) (\Phi_{bbbb} (\Phi_{cb} (\Phi_{(bb,b)} c_{5})) \Phi_{bcb} c_{12} \Phi_{b})
 125 | = (\Phi_{bcb} (\Phi_{cbbb} \Phi_{b} \Phi_{bb} c_{12}) c_{4} \Phi_{cbb}) (\Phi_{ccbcb} \Phi_{b} c_{12} (\Phi_{cbbb} \Phi_{b}) c_{4} \Phi_{cbbb})
 126 | = (\Phi_{cccb} (\Phi_{bb} c_{7}) c_{11} c_{4} \Phi_{cbbb}) (\Phi_{cbbb} \Phi_{b} \Phi_{bb} c_{12} \Phi_{K})
 127 | = (\Phi_{K} (\Phi_{K} (\Phi_{K} T))) (\Phi_{(cccbcb,cb)} c_{12} \Phi_{b} c_{12} (\Phi_{cccc(cbbb,bb)} (\Phi_{bb} c_{7}) c_{11} c_{7} \Phi_{b} \Phi_{b}) c_{5} (\Phi_{(b(bcbbb,bb),bbb)} c_{2} c_{1}) c_{5} \Phi_{cbb})
 128 | = (\Phi_{K} (\Phi_{K} (\Phi_{K} T))) (\Phi_{c(cccccbbb,)} (\Phi_{(bb,b)} c_{1}) c_{12} \Phi_{b} c_{12} (\Phi_{(b(bbb,bb),bb)} c_{2} c_{1}) \Phi_{b} (\Phi_{c(cccbbb,bcb)} \Phi_{b} \Phi_{b}) c_{12} \Phi_{b})
 129 | = (\Phi_{K} (\Phi_{K} (\Phi_{K} T))) (\Phi_{c(ccbbb,bb)} \Phi_{b} c_{2} \Phi_{bbcb} (\Phi_{c(cbbbb,)} (\Phi_{(bb,b)} c_{4})) c_{12} \Phi_{b} c_{12} \Phi_{b})
 130 | = (\Phi_{K} (\Phi_{K} (\Phi_{K} T))) (\Phi_{c(cbcbbb,)} (\Phi_{(bb,b)} c_{5}) c_{12} (\Phi_{cbbcb} \Phi_{b}) \Phi_{b} (\Phi_{(bbb,bb)} c_{2}) c_{12} \Phi_{b})
 131 | = (\Phi_{K} (\Phi_{K} (\Phi_{K} T))) (\Phi_{(cccbcbbb,b)} c_{12} \Phi_{b} c_{12} (\Phi_{c(cbbb,bb)} \Phi_{b} \Phi_{b}) \Phi_{b} (\Phi_{(b(bbb,bb),bb)} c_{2} c_{2}) c_{12} \Phi_{b} (\Phi_{(bb,b)} c_{2}))
 132 | = (\Phi_{K} (\Phi_{K} T)) (\Phi_{(cbbb,)} c_{2} \Phi_{cbb} c_{11} \Phi_{b})
 133 | = (\Phi_{cbbb} \Phi_{b} (\Phi_{bbb} c_{7}) c_{12} (\Phi_{bb} c_{7})) (\Phi_{cbbb} \Phi_{b} \Phi_{bb} c_{14} \Phi_{b})
 134 | = (\Phi_{cbbb} \Phi_{b} \Phi_{bb} c_{12} \Phi_{b}) (\Phi_{cbbb} \Phi_{b} (\Phi_{bbb} c_{7}) c_{14} (\Phi_{bb} c_{7}))
 135 | = (\Phi_{cbbb} \Phi_{b} \Phi_{bb} c_{12} (\Phi_{bb} c_{7})) (\Phi_{cbbb} \Phi_{b} (\Phi_{bbb} c_{7}) c_{14} \Phi_{b})
 136 | = (\Phi_{cbbb} \Phi_{b} (\Phi_{bbb} c_{7}) c_{12} \Phi_{b}) (\Phi_{cbbb} \Phi_{b} \Phi_{bb} c_{14} (\Phi_{bb} c_{7}))
 137 | = (\Phi_{bb} (\Phi_{bb} c_{13}) (\Phi_{(bb,b)} c_{5})) (\Phi_{cbbb} \Phi_{b} \Phi_{bb} c_{14} \Phi_{b})
 138 | = (\Phi_{cccbb} \Phi_{b} \Phi_{cbb} c_{14} \Phi_{ccbb} (\Phi_{(bb,b)} c_{5})) (\Phi_{bbbb} (\Phi_{cb} (\Phi_{(bb,b)} c_{5})) \Phi_{bcb} c_{14} \Phi_{b})
 139 | = (\Phi_{bcb} (\Phi_{cbbb} \Phi_{b} \Phi_{bb} c_{14}) c_{5} \Phi_{cbb}) (\Phi_{ccbcb} \Phi_{b} c_{14} (\Phi_{cbbb} \Phi_{b}) c_{5} \Phi_{cbbb})
 140 | = (\Phi_{cccb} \Phi_{b} c_{13} c_{5} \Phi_{cbbb}) (\Phi_{cbbb} \Phi_{b} \Phi_{bb} c_{14} \Phi_{K})
 141 | = (\Phi_{K} (\Phi_{K} (\Phi_{K} T))) (\Phi_{(cccbcb,cb)} c_{14} \Phi_{b} c_{14} (\Phi_{ccc(cbbb,bb)} \Phi_{b} c_{13} \Phi_{b} \Phi_{b}) c_{4} (\Phi_{(b(bcbbb,bb),bb)} c_{2} c_{1}) c_{4} \Phi_{cbb})
 142 | = (\Phi_{K} c_{9}) (\Phi_{bb} (c_{14} (\Phi_{K} c_{9})) \Phi_{b})
 143 | = (\Phi_{K} (\Phi_{K} (\Phi_{K} T))) (\Phi_{(cbbb,bbb)} (\Phi_{(bb,b)} c_{4}) (\Phi_{cccb} \Phi_{b}) c_{14} \Phi_{b} (\Phi_{(bbcb,bb)} c_{2}) c_{14} \Phi_{b})
 144 | = (\Phi_{K} (\Phi_{K} (\Phi_{K} T))) (\Phi_{c(cccbbb,)} (\Phi_{(bb,b)} c_{4}) c_{14} (\Phi_{(bbb,bb)} c_{2}) \Phi_{b} (\Phi_{cccbbcb} \Phi_{b}) c_{14} \Phi_{b})
 145 | = (\Phi_{K} (\Phi_{K} (\Phi_{K} T))) (\Phi_{(cccbcbbb,b)} c_{12} \Phi_{b} c_{14} (\Phi_{c(cbbb,bb)} \Phi_{b} \Phi_{b}) \Phi_{b} (\Phi_{(b(bbb,bb),bb)} c_{2} c_{2}) c_{14} \Phi_{b} (\Phi_{(bb,b)} c_{2}))
 146 | = (\Phi_{K} (\Phi_{K} T)) (\Phi_{b} (\Phi_{(bbb,c)} c_{2} c_{13} \Phi_{b}))
 147 | = (\Phi_{K} (\Phi_{K} (\Phi_{K} T))) (\Phi_{cccc(cccccb,)} \Phi_{b} \Phi_{cbbb} c_{12} \Phi_{b} c_{14} \Phi_{b} (\Phi_{(bcbcccbb,bb)} c_{2}) c_{12} \Phi_{cb} (\Phi_{c(ccccccbb,bcccbb)} \Phi_{b} \Phi_{b} \Phi_{cbcb} c_{14}))
 148 | = (\Phi_{bb} (\Phi_{bb} c_{7}) c_{16}) (\Phi_{bb} \Phi_{b} c_{17})
 149 | = T (c_{11} (\Phi_{b} (c_{17} c_{18})))
 151 | = (\Phi_{bb} \Phi_{b} c_{15}) (\Phi_{bbb} \Phi_{b} c_{16} c_{20})
 152 | = (\Phi_{ccbb} c_{16} (\Phi_{(bb,b)} c_{4}) \Phi_{cbb} c_{16}) (\Phi_{cb} c_{21} (\Phi_{bbbcb} \Phi_{b} c_{16} c_{20}))
 153 | = (\Phi_{cccbbb} \Phi_{cb} c_{16} c_{14} \Phi_{cbcb} \Phi_{b} c_{16}) (\Phi_{bbb} \Phi_{b} c_{16} c_{22})
 154 | = (\Phi_{cb} c_{21} (\Phi_{bbcb} c_{22} c_{20})) (\Phi_{cb} c_{24} \Phi_{cb})
 155 | = (\Phi_{c(cccbb,)} c_{24} \Phi_{K} c_{16} (\Phi_{(bb,b)} c_{5}) (\Phi_{(bcbb,bcb)} c_{19}) c_{16}) (\Phi_{cb} c_{25} \Phi_{cb})
 157 | = (\Phi_{cc(cbb,b)} c_{17} (\Phi_{(bb,b)} c_{5}) c_{19} \Phi_{cbcbb} \Phi_{K} c_{16}) (\Phi_{cb} c_{30} \Phi_{cb})
 158 | = (\Phi_{ccbb} c_{16} (\Phi_{(bb,b)} c_{2}) (\Phi_{bcbb} c_{11}) c_{16}) (\Phi_{cb} c_{27} \Phi_{cb})
 159 | = (\Phi_{bb} \Phi_{b} c_{27}) (\Phi_{cb} c_{29} \Phi_{cb})
 160 | = (\Phi_{c(cb,)} c_{27} c_{59} (\Phi_{(bcb,cb)} c_{5})) (\Phi_{cb} c_{26} \Phi_{cb})
 161 | = (\Phi_{bb} \Phi_{b} c_{26}) (\Phi_{cb} c_{28} \Phi_{cb})
 162 | = (\Phi_{c(ccbb,)} c_{21} c_{20} c_{21} (\Phi_{bcbbcb} c_{20}) c_{20}) (\Phi_{cb} c_{31} \Phi_{cb})
 163 | = (\Phi_{bb} \Phi_{b} c_{27}) (\Phi_{bbb} \Phi_{b} c_{16} c_{35})
 164 | = (\Phi_{(bb,)} c_{24} c_{20}) (\Phi_{b} c_{52})
 165 | = T (c_{11} (\Phi_{bbb} c_{13} \Phi_{b} c_{17}))
 156 | = (\Phi_{(bcccbbb,bb)} c_{19} \Phi_{cb} c_{16} c_{12} \Phi_{cbcb} \Phi_{b} c_{16} \Phi_{K} c_{22}) (\Phi_{b} c_{23})
